CodeC,country,Country Code,year,time_period,obs_value,sex,Region,Sub-region
JAM2005Tot,Jamaica,JAM,2005,01/01/2005,75,Total,Americas,Latin America and the Caribbean
LSO2005Fem,Lesotho,LSO,2005,01/01/2005,60,Female,Africa,Sub-Saharan Africa
LSO2005Mal,Lesotho,LSO,2005,01/01/2005,58,Male,Africa,Sub-Saharan Africa
LSO2005Tot,Lesotho,LSO,2005,01/01/2005,59,Total,Africa,Sub-Saharan Africa
MWI2005Fem,Malawi,MWI,2005,01/01/2005,36,Female,Africa,Sub-Saharan Africa
MWI2005Mal,Malawi,MWI,2005,01/01/2005,37,Male,Africa,Sub-Saharan Africa
MWI2005Tot,Malawi,MWI,2005,01/01/2005,37,Total,Africa,Sub-Saharan Africa
MNG2005Fem,Mongolia,MNG,2005,01/01/2005,63,Female,Asia,Eastern Asia
MNG2005Mal,Mongolia,MNG,2005,01/01/2005,63,Male,Asia,Eastern Asia
MNG2005Tot,Mongolia,MNG,2005,01/01/2005,63,Total,Asia,Eastern Asia
MDA2005Fem,"Moldova, Republic of",MDA,2005,01/01/2005,61,Female,Europe,Eastern Europe
MDA2005Mal,"Moldova, Republic of",MDA,2005,01/01/2005,59,Male,Europe,Eastern Europe
MDA2005Tot,"Moldova, Republic of",MDA,2005,01/01/2005,60,Total,Europe,Eastern Europe
RWA2005Fem,Rwanda,RWA,2005,01/01/2005,28,Female,Africa,Sub-Saharan Africa
RWA2005Mal,Rwanda,RWA,2005,01/01/2005,28,Male,Africa,Sub-Saharan Africa
RWA2005Tot,Rwanda,RWA,2005,01/01/2005,28,Total,Africa,Sub-Saharan Africa
SEN2005Fem,Senegal,SEN,2005,01/01/2005,45,Female,Africa,Sub-Saharan Africa
SEN2005Mal,Senegal,SEN,2005,01/01/2005,49,Male,Africa,Sub-Saharan Africa
